Name,Model,Reactor Type,Reference Unit Power (MWe),Grid Connection,lat,lon
Kaiga 1,Horizontal Pressure Tube type,PHWR,202,2000-10,"14.8652,74.4381",
Kaiga 2,Horizontal Pressure Tube type,PHWR,202,1999-12,"14.8652,74.4384",
Kaiga 3,Horizontal Pressure Tube type,PHWR,202,2007-04,"14.8653,74.4418",
Kaiga 4,Horizontal Pressure Tube type,PHWR,202,2011-01,"14.8653,74.4422",
Kakrapar 1,Horizontal Pressure Tube type,PHWR,202,1992-11,"21.2355,73.3507",
Kakrapar 2,Horizontal Pressure Tube type,PHWR,202,1995-03,"21.2352,73.3507",
Kakrapar 3,PHWR-700,PHWR,630,2021-01,"21.2352,73.3507",
Kudankulam 1,VVER V-412,PWR,932,2013-10,"8.16705,77.7126",
Kudankulam 2,VVER V-412,PWR,932,2016-08,"8.16666,77.7127",
Madras 1,Horizontal Pressure Tube type,PHWR,205,1983-07,"12.5571,80.177",
Madras 2,Horizontal Pressure Tube type,PHWR,205,1985-09,"12.5571,80.177",
Narora 1,Horizontal Pressure Tube type,PHWR,202,1989-07,"28.1559,78.4092",
Narora 2,Horizontal Pressure Tube type,PHWR,202,1992-01,"28.1554,78.4092",
Rajasthan 2,Horizontal Pressure Tube type,PHWR,187,1980-11,"24.8762,75.6092",
Rajasthan 3,Horizontal Pressure Tube type,PHWR,202,2000-03,"24.8723,75.619",
Rajasthan 4,Horizontal Pressure Tube type,PHWR,202,2000-11,"24.8718,75.619",
Rajasthan 5,Horizontal Pressure Tube type,PHWR,202,2009-12,"24.8722,75.625",
Rajasthan 6,Horizontal Pressure Tube type,PHWR,202,2010-03,,
Tarapur 1,BWR-1 (Mark 2),BWR,150,1969-04,,
Tarapur 2,BWR-1 (Mark 2),BWR,150,1969-05,,
Tarapur 3,Horizontal Pressure Tube Type,PHWR,490,2006-06,,
Tarapur 4,Horizontal Pressure Tube Type,PHWR,490,2005-06,,
Kakrapar 4,PHWR-700,PHWR,700,NA,,
Kudankulam 3,VVER V-412,PWR,1000,NA,,
Kudankulam 4,VVER V-412,PWR,1000,NA,,
Kudankulam 5,VVER V-412,PWR,1000,NA,,
Kudankulam 6,VVER V-412,PWR,1000,NA,,
PFBR,Prototype,FBR,500,NA,,
Rajasthan 7,Horizontal Pressure Tube type,PHWR,700,NA,,
Rajasthan 8,Horizontal Pressure Tube type,PHWR,700,NA,,
