country,year,production in TWh (Terawatt per hour)
India,1969,0.7247816
India,1970,1.3081424
India,1971,0.972268
India,1972,0.9236546
India,1973,1.9533747
India,1974,1.7986958
India,1975,2.143409
India,1976,2.6560595
India,1977,1.8517286
India,1978,2.2627327
India,1979,2.3467014
India,1980,2.4483476
India,1981,2.466025
India,1982,2.1566672
India,1983,3.0759025
India,1984,4.0393314
India,1985,4.507788
India,1986,5.020438
India,1987,5.3209577
India,1988,6.076675
India,1989,4.021654
India,1990,6.3948717
India,1991,5.413765
India,1992,6.4037104
India,1993,6.2269344
India,1994,4.9453087
India,1995,7.6146264
India,1996,8.401279
India,1997,10.071813
India,1998,11.371117
India,1999,12.727872
India,2000,15.77
India,2001,18.89
India,2002,19.35
India,2003,18.14
India,2004,21.26
India,2005,17.73
India,2006,17.63
India,2007,17.83
India,2008,15.23
India,2009,16.82
India,2010,23.08
India,2011,32.22
India,2012,33.14
India,2013,33.31
India,2014,34.69
India,2015,38.31
India,2016,37.9
India,2017,37.41
India,2018,39.05
India,2019,45.16
India,2020,44.61
India,2021,43.92
